Work shift,Type,Refinery,Origin Departure Date,Origin Net Weight,Destination Arrival Date,Destination Net Weight
Day shift,VB,Tehran,1398/12/28,24040,1399/01/01,24030
Day shift,VB,Tehran,1398/12/28,23720,1399/01/01,23700
Day shift,VB,Tehran,1398/12/27,26080,1399/01/01,25980
Day shift,VB,Tehran,1398/12/28,23260,1399/01/01,23700
Day shift,VB,Tehran,1398/12/29,26380,1399/01/02,26300
Day shift,VB,Tehran,1398/12/28,25920,1399/01/02,25900
Day shift,VB,Tehran,1398/12/29,24200,1399/01/02,24200
Day shift,VB,Tehran,1399/01/01,26600,1399/01/03,26680
Day shift,VB,Tehran,1399/01/02,23880,1399/01/03,23940
Day shift,VB,Tehran,1399/01/01,25920,1399/01/03,25880
Day shift,VB,Tehran,1399/01/01,24540,1399/01/03,24510
Day shift,C5+,Pars Petrochemical,1398/12/27,26710,1399/01/03,26670
Day shift,VB,Tehran,1398/12/29,24940,1399/01/03,24860
Day shift,VB,Tehran,1399/01/02,24460,1399/01/03,24460
Day shift,VB,Tehran,1399/01/02,26960,1399/01/04,26920
Day shift,VB,Tehran,1399/01/02,23800,1399/01/03,23830
Day shift,VB,Tehran,1399/01/02,26720,1399/01/04,26660
Day shift,VB,Tehran,1399/01/03,25920,1399/01/05,25930
Day shift,VB,Tehran,1399/01/03,24500,1399/01/05,24500
Day shift,VB,Tehran,1399/01/04,25460,1399/01/05,25490
Day shift,VB,Tehran,1399/01/04,26660,1399/01/06,26640
Day shift,VB,Tehran,1399/01/03,23480,1399/01/05,23470
Day shift,VB,Tehran,1399/01/05,24360,1399/01/06,24410
Day shift,VB,Tehran,1399/01/04,23820,1399/01/06,23830
Day shift,VB,Tehran,1399/01/05,23660,1399/01/06,23730
Day shift,VB,Tehran,1399/01/05,25980,1399/01/06,25990
Day shift,VB,Tehran,1399/01/05,25100,1399/01/06,25110
Day shift,VB,Tehran,1399/01/05,23280,1399/01/06,23240
Day shift,VB,Tehran,1399/01/05,22880,1399/01/06,22860
Day shift,VB,Tehran,1399/01/04,25140,1399/01/06,25140
Day shift,VB,Tehran,1399/01/04,26180,1399/01/06,26130
Day shift,VB,Tehran,1399/01/05,26160,1399/01/07,26360
Day shift,VB,Tehran,1399/01/05,26360,1399/01/07,26360
Day shift,VB,Tehran,1399/01/05,25200,1399/01/07,25220
Day shift,VB,Tehran,1399/01/05,24440,1399/01/07,24390
Day shift,VB,Tehran,1399/01/05,23140,1399/01/07,23210
Day shift,C5+,Pars Petrochemical,1398/12/29,26360,1399/01/07,26380
Day shift,VB,Tehran,1399/01/06,25280,1399/01/07,25250
Day shift,VB,Tehran,1399/01/05,24220,1399/01/07,24190
Day shift,VB,Tehran,1399/01/05,24380,1399/01/07,24340
Day shift,VB,Tehran,1399/01/06,24200,1399/01/07,24140
Day shift,VB,Tehran,1399/01/05,23820,1399/01/07,23820
Day shift,VB,Tehran,1399/01/05,23420,1399/01/07,23410
Day shift,VB,Tehran,1399/01/06,23780,1399/01/08,23790
Day shift,VB,Tehran,1399/01/06,24400,1399/01/08,24370
Day shift,VB,Tehran,1399/01/06,24460,1399/01/08,24430
Day shift,VB,Tehran,1399/01/07,24600,1399/01/08,24570
Day shift,VB,Tehran,1399/01/07,23880,1399/01/08,23840
Day shift,VB,Tehran,1399/01/06,24680,1399/01/09,24720
Day shift,VB,Tehran,1399/01/06,24660,1399/01/09,24620
Day shift,VB,Tehran,1399/01/06,27080,1399/01/09,27030
Day shift,C5+,Pars Petrochemical,1399/01/18,24080,1399/01/20,24060
Day shift,C5+,Pars Petrochemical,1399/01/20,28340,1399/01/22,28320
